Nth day,Average engagement time per session
0,26.38737446
1,30.19962335
2,31.06049822
3,30.48571429
4,30.93445378
5,33.80097087
6,23.5940246
7,29.39378238
8,32.59498956
9,32.92576419
10,38.48255814
11,31.05933682
12,29.63119266
13,31.53410982
14,28.62934363
15,20.67619048
16,38.73448276
17,38.72727273
18,25.95113438
19,37.45243129
20,25.01781737
21,27.0770751
22,33.68765743
23,23.27669903
24,45.78040541
25,24.88867188
26,31.15490196
27,39.04562738
28,45.04319654
29,42.44501279
30,32.23287671
31,26.92280702
32,45.64695946
33,27.37421384
34,25.34729494
35,18.78918919
36,37.29950495
37,37.90952381
38,42.00993377
39,13.95481671
40,26.7375
41,38.28801431
42,33.88311688
43,42.58715596
44,28.36437247
45,344.6749117
46,48.80942184
47,26.19744059
48,43.9266055
49,56.89419087
50,42.99527187
51,29.5
52,38.63087248
53,29.38606403
54,29.02617801
55,23.44190141
56,34.82352941
57,31.00536193
58,47.34328358
59,34.78709677
60,28.99479167
61,37.5018797
62,25.18085106
63,30.09349593
64,41.67766497
65,28.32596685
66,62.09734513
67,29.57019438
68,29.1537133
69,34.43254818
70,31.41811175
71,25.03278689
72,22.61691542
73,32.72693727
74,25.08266129
75,29.87478849
76,34.2446184
77,30.4
78,28.81518987
79,39.24456522
80,32.97058824
81,35.63744076
82,30.1987041
83,36.93172691
84,33.61589404
85,37
86,31.59574468
87,30.93089431
88,31.28
89,32.60566449
90,34.51606426
91,28.90045249
92,39.44668588
93,23.1396648
94,42.98723404
95,19.08830022
96,31.64516129
97,33.59694989
98,28.28146453
99,23.72289157
100,36.56862745
101,22.50826446
102,28.67485822
103,37.47272727
104,29.75480769
105,22.3817734
106,17.80348259
107,47.56593407
108,39.43560606
109,24.29302326
110,23.7661597
111,24.36745407
112,32.97761194
113,25.76129032
114,20.65408805
115,20.68493151
116,24.91469194
117,34.44399185
118,28.63309353
119,45.8718663
120,26.64
121,18.14012739
122,37.16239316
123,29.33169533
124,34.7084399
125,31.07670455
126,17.68767908
127,49.09538462
128,31.18343195
129,35.87732342
130,30.10791367
131,30
132,18.60949868
133,23.00263158
134,57.1372549
135,34.99375
136,35.69498069
137,44.61154856
138,236.2046512
139,33.57721519
140,34.2630273
141,26.56913183
142,23.47101449
143,36.00409836
144,33.61930295
145,31.43046358
146,28.9339207
147,25.49082569
148,24.6645768
149,29.58333333
150,33.59832636
151,31.45308924
152,39.44605809
153,33.58278146
154,46.70334928
155,34.93895349
156,32.4076087
157,28.27272727
158,38.87587822
159,30.47494033
160,33.3287037
161,29.50995025
162,22.07236842
163,30.40540541
164,30.09561753
165,26.30837004
166,24.65130261
167,47.80974478
168,37.76388889
169,31.96065574
170,34.22727273
171,31.51072961
172,27.85365854
173,26.37969095
174,42.82857143
175,18.0511509
176,35.57022472
177,50.80487805
178,38.51694915
179,26.53744493
180,31.25277162
181,20.55257732
182,25.12230216
183,25.76047904
184,37.18128655
185,25.32701422
186,23.47379913
187,26.26086957
188,40.17692308
189,39.60222222
190,23.88198758
191,30.99514563
192,27.50806452
193,28.64270153
194,31.73732719
195,30.07424594
196,25.2804878
197,39.39145907
198,22.17934783
199,26.73484848
200,26.79487179
201,27.4308094
202,33.88081395
203,39.1625
204,24.31120332
205,28.46857143
206,40.42487047
207,25.80701754
208,26.65509259
209,24.87350835
210,32.64285714
211,25.42982456
212,26.82285714
213,23.09318996
214,22.37376238
215,22.38116592
216,21.97011494
217,31.06117647
218,17.03333333
219,31.38285714
220,26.08362369
221,24.80697674
222,23.64492754
223,34.38653367
224,23.22715405
225,30.75090253
226,30.48148148
227,50.54008439
228,27.78223496
229,38.62078652
230,31.83540373
231,25.45833333
232,30.06224066
233,16.08
234,25.21052632
235,33.5890411
236,133.6698565
237,26.50361446
238,31.32448378
239,39.12831858
240,32.90967742
241,35.7804878
242,39.94871795
243,37.55112219
244,19.97619048
245,25.80495356
246,28.21501706
247,19.95862069
248,23.82539683
249,40.48387097
250,21.92
251,30.14569536
252,39.22968198
253,37.91256831
254,26.4375
255,33.26143791
256,30.69626168
257,43.31213873
258,37.12149533
259,46.08917197
260,1144.398148
261,27.69230769
262,30.792
263,22.70232558
264,35.19090909
265,26.25
266,52.35443038
267,29.70940171
268,29.09937888
269,30.75568182
270,35.46788991
271,20.46197183
272,29.72845953
273,31.78717949
274,26.03448276
275,41.59558824
276,40.33333333
277,37.31216931
278,25.73020528
279,26.45040214
280,30.20930233
281,26.94623656
282,22.26086957
283,26.15306122
284,50.39820359
285,26.61246612
286,26.15696203
287,29.60059172
288,22.26277372
289,40.42767296
290,36.46022727
291,22.78167116
292,24.55522388
293,22.15044248
294,23.37037037
295,26.375
296,38.1038961
297,21.39688716
298,23.31606218
299,32.51111111
300,28.73045822
301,25.68461538
302,26.52702703
303,19.44508671
304,36.29795918
305,34.74736842
306,38.21505376
307,29.44935065
308,27.55153203
309,28.8277027
310,27.83561644
311,35.54822335
312,22.93506494
313,27.5
314,29.41102757
315,35.90533981
316,16.71104816
317,15.63448276
318,25.50724638
319,21.33502538
320,26.73123487
321,21.04379562
322,37.11450382
323,26.18181818
324,34.55405405
325,33.75
326,23.98153846
327,25.50645995
328,24.89970501
329,26.88184438
330,30.30526316
331,22.6625
332,25.98550725
333,43.96588486
334,28.62111801
335,34.55137845
336,28.02702703
337,26.71582734
338,21.46202532
339,17.83185841
340,19.94906166
341,28.88461538
342,25.26075949
343,25.91002571
344,27.53605016
345,30.27058824
346,25.09960159
347,25.41907514
348,26.93371758
349,37.05789474
350,19.65168539
351,21.17064846
352,22.47761194
353,29.0052356
354,29.18465909
355,21.68364611
356,28.04010695
357,25.8879056
358,23.87636364
359,16.94262295
360,31.45833333
361,16.91404011
362,25.79758308
363,1212.027778
364,42.86538462
365,20.05109489
