Nth day,DAU / MAU,DAU / WAU,WAU / MAU
0,0.047399058,0.162496041,0.291693615
1,0.036575229,0.125594672,0.291216403
2,0.01832436,0.061431286,0.298290356
3,0.022497617,0.074050832,0.303813155
4,0.037885875,0.132007823,0.286997194
5,0.03938892,0.154234234,0.255383766
6,0.035229597,0.153627888,0.229317717
7,0.036132173,0.164957265,0.219039596
8,0.030177292,0.14159292,0.213127122
9,0.016908213,0.078055308,0.216618357
10,0.022914846,0.105404198,0.217399748
11,0.038348083,0.180232558,0.212770007
12,0.035667355,0.173754001,0.205275014
13,0.04181478,0.197962799,0.211225444
14,0.034238823,0.161476868,0.212035465
15,0.028206594,0.132557098,0.21278826
16,0.020307035,0.092151675,0.220365332
17,0.019189558,0.088420108,0.21702708
18,0.037302042,0.176523702,0.211314635
19,0.030159781,0.147208122,0.20487851
20,0.028783835,0.150174043,0.191669844
21,0.032560386,0.169602416,0.191980676
22,0.025996873,0.13592233,0.191262705
23,0.013014316,0.068965517,0.188707578
24,0.021222324,0.109820486,0.193245587
25,0.036279816,0.194414608,0.186610543
26,0.034029851,0.181240064,0.187761194
27,0.03692058,0.186762442,0.197687392
28,0.03369001,0.164766839,0.204470813
29,0.028431263,0.13308977,0.213624707
30,0.019735315,0.086912065,0.227072208
31,0.025103612,0.108108108,0.232208407
32,0.04934588,0.213187903,0.231466605
33,0.048848961,0.206454675,0.236608647
34,0.044613833,0.186329588,0.239435041
35,0.040710751,0.165826844,0.245501574
36,0.031767642,0.126696833,0.250737463
37,0.01763955,0.069279854,0.254612974
38,0.024016953,0.093278464,0.257475865
39,0.107954545,0.363275613,0.297169811
40,0.041263158,0.143117926,0.288315789
41,0.039817854,0.13895048,0.286561474
42,0.039480629,0.137905605,0.286287343
43,0.031494376,0.10785033,0.292019282
44,0.020021882,0.066448802,0.30131291
45,0.038331331,0.120992761,0.316806814
46,0.036821078,0.153327338,0.240146852
47,0.038215201,0.163023679,0.23441503
48,0.03825195,0.16505302,0.231755529
49,0.035393499,0.155472053,0.227651839
50,0.030901288,0.135147818,0.228648069
51,0.015222867,0.066475371,0.22900011
52,0.022722259,0.105967078,0.214427531
53,0.038532309,0.182190379,0.211494751
54,0.041817794,0.196984925,0.212289311
55,0.039970314,0.187749004,0.212892282
56,0.040566237,0.187043351,0.216881471
57,0.027226927,0.125742574,0.216529103
58,0.01604103,0.072413793,0.221518987
59,0.024556018,0.109055501,0.225169919
60,0.041818572,0.18696069,0.223675745
61,0.039519444,0.181598063,0.217620403
62,0.040620384,0.184918348,0.219666596
63,0.036859996,0.169185763,0.217867007
64,0.029601722,0.132786094,0.222927879
65,0.014118685,0.062347784,0.226450474
66,0.018277053,0.082041021,0.222779449
67,0.035408902,0.166925065,0.212124534
68,0.043136833,0.203863752,0.211596386
69,0.036311239,0.166490486,0.218097983
70,0.042440318,0.192872117,0.220043824
71,0.029353292,0.133368757,0.220091217
72,0.017229002,0.075789474,0.227327112
73,0.023109498,0.098912481,0.233635814
74,0.040057225,0.173195876,0.231282785
75,0.04829141,0.209254499,0.230778358
76,0.04102929,0.175367461,0.233961817
77,0.035441527,0.155987395,0.227207637
78,0.033445621,0.144116122,0.23207411
79,0.017117007,0.072840791,0.234992053
80,0.020587871,0.087230688,0.236016371
81,0.035536084,0.156484459,0.227090179
82,0.038692622,0.180594504,0.214251382
83,0.04203989,0.196757965,0.213662964
84,0.025565749,0.123013537,0.207828746
85,0.031475491,0.150864639,0.208633989
86,0.017925736,0.083682008,0.214212548
87,0.022548641,0.104353011,0.216080402
88,0.039064475,0.182624113,0.213906448
